Date/Time,Electricity:Facility [J](Hourly),Electricity:Building [J](Hourly),Electricity:Zone:LIVING_UNIT1 [J](Hourly),Electricity:SpaceType:GENERAL [J](Hourly),Electricity:HVAC [J](Hourly),Electricity:Plant [J](Hourly) 
 02/08  04:00:00,15627500.639708756,2167160.80380385,2167160.80380385,2167160.80380385,13270095.934834868,0.0 
 02/08  05:00:00,18559541.569751203,2326991.86639299,2326991.86639299,2326991.86639299,14377490.126049126,1660531.405982537 
 02/08  06:00:00,18054347.088792887,2888368.680950925,2888368.680950925,2888368.680950925,14964488.297348574,0.0 
 02/08  07:00:00,20293268.28687197,3455726.295687276,3455726.295687276,3455726.295687276,15025672.569664188,1796874.475622703 
 02/08  08:00:00,20121406.71060561,3804342.957438114,3804342.957438114,3804342.957438114,14467040.824148918,1836634.5844669745 
 02/08  09:00:00,18718515.005725402,3331560.1762823085,3331560.1762823085,3331560.1762823085,11690131.323748717,3690932.6340916683 
 02/08  10:00:00,14728221.753529906,3145052.4172653225,3145052.4172653225,3145052.4172653225,9747829.954156872,1831322.8787422306 
 02/08  11:00:00,14175172.145889204,3201316.809840188,3201316.809840188,3201316.809840188,9164991.780790895,1804847.05189264 
 02/08  12:00:00,11676156.59306798,3245056.7517732778,3245056.7517732778,3245056.7517732778,6648539.305108059,1778544.032821159 
 02/08  13:00:00,10008365.590027321,3197289.398662933,3197289.398662933,3197289.398662933,5048357.770785228,1758701.917213678 
 02/08  14:00:00,6034943.651685525,3143544.016284607,3143544.016284607,3143544.016284607,2887383.132035436,0.0 
 02/08  15:00:00,5889808.257652582,3152610.4832543777,3152610.4832543777,3152610.4832543777,998475.1988428934,1734706.0721898274 
 02/08  16:00:00,6686944.5519698355,3436226.8211706067,3436226.8211706067,3436226.8211706067,1514275.154825409,1729480.636806985 
 02/08  17:00:00,8185897.846772946,4368891.063756271,4368891.063756271,4368891.063756271,2057558.813893664,1744453.023225209 
 02/08  18:00:00,8025402.150202623,5514884.4344747625,5514884.4344747625,5514884.4344747625,2489631.898227352,0.0 
 02/08  19:00:00,11102458.368399812,5936377.747743254,5936377.747743254,5936377.747743254,3154446.7455900856,1795416.5855663125 
 02/08  20:00:00,13322460.63624252,5860851.394397255,5860851.394397255,5860851.394397255,4647145.465925518,2595203.6808396783 
 02/08  21:00:00,13262548.379423488,5788324.826793473,5788324.826793473,5788324.826793473,5865896.501939539,1389066.9556104073 
 02/08  22:00:00,14671318.641939867,5275040.848512863,5275040.848512863,5275040.848512863,7803512.475737817,1381100.0653365771 
 02/08  23:00:00,16098478.141108785,4175767.1653783405,4175767.1653783405,4175767.1653783405,9988838.270264039,1732650.3618640483 
 02/08  24:00:00,16126593.038784165,3228431.3064444675,3228431.3064444675,3228431.3064444675,11006608.688566642,1698095.9400106308 
 02/09  01:00:00,15127083.95025536,2498479.0097388276,2498479.0097388276,2498479.0097388276,12438361.039446495,0.0 
 02/09  02:00:00,15960324.242448207,2287908.203727021,2287908.203727021,2287908.203727021,13482172.137651147,0.0 
 02/09  03:00:00,15848435.298112009,2218387.455766968,2218387.455766968,2218387.455766968,13439803.941275002,0.0 
 02/09  04:00:00,16030868.298431309,2167160.80380385,2167160.80380385,2167160.80380385,13673463.593557421,0.0 
 02/09  05:00:00,16199094.97982003,2326991.86639299,2326991.86639299,2326991.86639299,13677574.94210049,0.0 
 02/09  06:00:00,18815568.790347967,2888368.680950925,2888368.680950925,2888368.680950925,14020685.034114514,1705024.9647891384 
 02/09  07:00:00,18816015.235792547,3455726.295687276,3455726.295687276,3455726.295687276,13548755.140329441,1796538.8538780306 
 02/09  08:00:00,18136424.739368364,3804342.957438114,3804342.957438114,3804342.957438114,12482033.810641725,1836659.6267369168 
 02/09  09:00:00,19210140.250485566,3331560.1762823085,3331560.1762823085,3331560.1762823085,13335955.328417307,2536733.8741832445 
 02/09  10:00:00,18971430.548878513,3145052.4172653225,3145052.4172653225,3145052.4172653225,12846637.041511588,2975724.586736122 
 02/09  11:00:00,16382970.869204484,3201316.809840188,3201316.809840188,3201316.809840188,11372620.698664496,1805016.857334319 
 02/09  12:00:00,15232580.10726304,3245056.7517732778,3245056.7517732778,3245056.7517732778,10204953.733169649,1778553.1189546287 
 02/09  13:00:00,12337722.022283718,3197289.398662933,3197289.398662933,3197289.398662933,8015750.74979275,1120665.3704625538 
 02/09  14:00:00,10520781.902197285,3143544.016284607,3143544.016284607,3143544.016284607,6740178.336442325,633043.0461048704 
 02/09  15:00:00,10764261.370323673,3152610.4832543777,3152610.4832543777,3152610.4832543777,5873080.611722701,1734553.7719811127 
 02/09  16:00:00,9984047.304453313,3436226.8211706067,3436226.8211706067,3436226.8211706067,4811242.890477575,1729615.6536382935 
