Date/Time,Electricity:Facility [J](Hourly),Electricity:Building [J](Hourly),Electricity:Zone:LIVING_UNIT1 [J](Hourly),Electricity:SpaceType:GENERAL [J](Hourly),Electricity:HVAC [J](Hourly),Electricity:Plant [J](Hourly) 
 02/18  08:00:00,11887427.270241741,3804342.957438114,3804342.957438114,3804342.957438114,6229843.887929982,1839852.080322037 
 02/18  09:00:00,12266745.75725178,3331560.1762823085,3331560.1762823085,3331560.1762823085,7081056.71300299,1848237.996363773 
 02/18  10:00:00,13312139.112368051,3145052.4172653225,3145052.4172653225,3145052.4172653225,6706787.763237281,3456282.4284999655 
 02/18  11:00:00,9795054.438787214,3201316.809840188,3201316.809840188,3201316.809840188,4572492.159351243,2017228.9662303028 
 02/18  12:00:00,8891958.151523411,3245056.7517732778,3245056.7517732778,3245056.7517732778,3860693.607308404,1782191.289076246 
 02/18  13:00:00,6799697.371276297,3197289.398662933,3197289.398662933,3197289.398662933,3598391.4692478813,0.0 
 02/18  14:00:00,7969457.91376241,3143544.016284607,3143544.016284607,3143544.016284607,3072556.783037989,1749340.611074332 
 02/18  15:00:00,7665809.572493115,3152610.4832543777,3152610.4832543777,3152610.4832543777,2770747.6571940393,1738434.9286792155 
 02/18  16:00:00,8363773.178294357,3436226.8211706067,3436226.8211706067,3436226.8211706067,3187678.355147547,1732906.0628093672 
 02/18  17:00:00,7926862.774255448,4368891.063756271,4368891.063756271,4368891.063756271,3542976.764601377,0.0 
 02/18  18:00:00,10476109.932686953,5514884.4344747625,5514884.4344747625,5514884.4344747625,3168542.95230506,1771796.7284066216 
 02/18  19:00:00,11199967.582118379,5936377.747743254,5936377.747743254,5936377.747743254,3248711.6146467924,1798660.9302281726 
 02/18  20:00:00,11380114.517114975,5860851.394397255,5860851.394397255,5860851.394397255,3495563.5327388076,1804439.4948988429 
 02/18  21:00:00,11316870.434886511,5788324.826793473,5788324.826793473,5788324.826793473,3519118.975228678,1790166.537784291 
 02/18  22:00:00,11453553.638980426,5275040.848512863,5275040.848512863,5275040.848512863,4196815.535821964,1770032.0022929881 
 02/18  23:00:00,11449759.000524562,4175767.1653783405,4175767.1653783405,4175767.1653783405,5336801.835246276,1735967.6562975876 
 02/18  24:00:00,10015854.303434262,3228431.3064444675,3228431.3064444675,3228431.3064444675,6074076.681284104,519889.2119432679 
 02/19  01:00:00,10761830.934513887,2498479.0097388276,2498479.0097388276,2498479.0097388276,6913577.635245903,1159530.3884591195 
 02/19  02:00:00,9976810.53727483,2287908.203727021,2287908.203727021,2287908.203727021,7498658.432477772,0.0 
 02/19  03:00:00,10819593.904618617,2218387.455766968,2218387.455766968,2218387.455766968,8410962.54778161,0.0 
 02/19  04:00:00,11579296.711694783,2167160.80380385,2167160.80380385,2167160.80380385,9221892.006820893,0.0 
 02/19  05:00:00,13528983.793694071,2326991.86639299,2326991.86639299,2326991.86639299,9343566.153410332,1663897.602564199 
 02/19  06:00:00,12620091.000122631,2888368.680950925,2888368.680950925,2888368.680950925,9530232.208678316,0.0 
 02/19  07:00:00,14828421.229130706,3455726.295687276,3455726.295687276,3455726.295687276,9557985.681643311,1799714.3059023153 
 02/19  08:00:00,11318134.357689759,3804342.957438114,3804342.957438114,3804342.957438114,5660938.017673812,1839465.0380262265 
 02/19  09:00:00,8095107.383871647,3331560.1762823085,3331560.1762823085,3331560.1762823085,1061645.7915430593,3696010.5444435715 
 02/19  10:00:00,5137123.06017213,3145052.4172653225,3145052.4172653225,3145052.4172653225,154285.71428571438,1833768.4252556108 
 02/19  11:00:00,5166828.668916749,3201316.809840188,3201316.809840188,3201316.809840188,154285.71428571438,1807209.6414253647 
 02/19  12:00:00,5184083.611713835,3245056.7517732778,3245056.7517732778,3245056.7517732778,154285.71428571438,1780724.64228936 
 02/19  13:00:00,5116423.6937780045,3197289.398662933,3197289.398662933,3197289.398662933,154285.71428571438,1760832.077463876 
 02/19  14:00:00,4629344.289676657,3143544.016284607,3143544.016284607,3143544.016284607,154285.71428571438,1327498.0557408538 
 02/19  15:00:00,3727906.4876393145,3152610.4832543777,3152610.4832543777,3152610.4832543777,154285.71428571438,416993.78673373995 
 02/19  16:00:00,5328591.380678019,3436226.8211706067,3436226.8211706067,3436226.8211706067,154285.71428571438,1731116.9060548618 
 02/19  17:00:00,6283831.532844376,4368891.063756271,4368891.063756271,4368891.063756271,154285.71428571438,1745659.8089045894 
 02/19  18:00:00,7459853.747466667,5514884.4344747625,5514884.4344747625,5514884.4344747625,154285.71428571438,1769797.781205681 
 02/19  19:00:00,8103251.968025636,5936377.747743254,5936377.747743254,5936377.747743254,154285.71428571438,1796371.2164965095 
 02/19  20:00:00,8037123.343433576,5860851.394397255,5860851.394397255,5860851.394397255,154285.71428571438,1802726.1396705373 
 02/19  21:00:00,7950249.290265933,5788324.826793473,5788324.826793473,5788324.826793473,154285.71428571438,1788378.6541066754 
 02/19  22:00:00,6853710.919381814,5275040.848512863,5275040.848512863,5275040.848512863,154285.71428571438,1212719.1042306263 
 02/19  23:00:00,5076169.642421482,4175767.1653783405,4175767.1653783405,4175767.1653783405,154285.71428571438,544894.4191550693 
 02/19  24:00:00,5277294.586819865,3228431.3064444675,3228431.3064444675,3228431.3064444675,154285.71428571438,1701120.462327258 
 02/20  01:00:00,2863871.4904413554,2519341.8750856025,2519341.8750856025,2519341.8750856025,154285.71428571438,0.0 
 02/20  02:00:00,3457717.600576789,2300485.626558334,2300485.626558334,2300485.626558334,966988.0729484167,0.0 
 02/20  03:00:00,4896948.255290831,2226600.0926204654,2226600.0926204654,2226600.0926204654,2480104.261600328,0.0 
 02/20  04:00:00,7542793.510023723,2171740.4070940726,2171740.4070940726,2171740.4070940726,3527443.1733820797,1653366.0284775326 
 02/20  05:00:00,6706359.801360918,2335718.210080423,2335718.210080423,2335718.210080423,4176113.4199539437,0.0 
 02/20  06:00:00,7895738.889510283,2902111.397117286,2902111.397117286,2902111.397117286,4792137.381899609,0.0 
 02/20  07:00:00,10477961.56375622,3490045.529346395,3490045.529346395,3490045.529346395,5169463.616490844,1803457.4720211802 
 02/20  08:00:00,9244458.518464584,3872409.4070758065,3872409.4070758065,3872409.4070758065,1663846.2415478243,3694814.525289345 
 02/20  09:00:00,5457194.732450879,3436548.288166884,3436548.288166884,3436548.288166884,154285.71428571438,1860469.8583955728 
 02/20  10:00:00,5294079.1429344695,3287629.4627914913,3287629.4627914913,3287629.4627914913,154285.71428571438,1848147.4624917805 
 02/20  11:00:00,5338547.677621215,3359522.254572048,3359522.254572048,3359522.254572048,154285.71428571438,1820723.2053979717 
 02/20  12:00:00,5356389.377240907,3405817.7973429887,3405817.7973429887,3405817.7973429887,154285.71428571438,1792269.3622467222 
 02/20  13:00:00,5272420.676661408,3343416.5845005065,3343416.5845005065,3343416.5845005065,154285.71428571438,1770701.874509705 
 02/20  14:00:00,5191368.364562269,3277253.218523652,3277253.218523652,3277253.218523652,154285.71428571438,1755812.9283874203 
 02/20  15:00:00,5173792.307504921,3272159.2094632606,3272159.2094632606,3272159.2094632606,154285.71428571438,1743330.8803904639 
 02/20  16:00:00,5447622.436282802,3549357.552769049,3549357.552769049,3549357.552769049,154285.71428571438,1737017.2300612028 
 02/20  17:00:00,4648469.476662908,4479188.816479392,4479188.816479392,4479188.816479392,154285.71428571438,0.0 
 02/20  18:00:00,7575963.605661178,5624286.233621349,5624286.233621349,5624286.233621349,154285.71428571438,1776505.8402536064 
 02/20  19:00:00,8219983.123839164,6045788.3062472865,6045788.3062472865,6045788.3062472865,154285.71428571438,1803691.813806005 
 02/20  20:00:00,9120296.918883031,5971945.160957614,5971945.160957614,5971945.160957614,154285.71428571438,2774805.9485596367 
 02/20  21:00:00,8553485.231719363,5899533.255808762,5899533.255808762,5899533.255808762,154285.71428571438,2280406.1665448165 
 02/20  22:00:00,6102298.552051393,5386254.039457358,5386254.039457358,5386254.039457358,154285.71428571438,350093.54595570976 
 02/20  23:00:00,6357006.540492576,4262786.538241955,4262786.538241955,4262786.538241955,154285.71428571438,1738711.9443625484 
 02/20  24:00:00,5326446.808416414,3276627.552965166,3276627.552965166,3276627.552965166,154285.71428571438,1702076.4374031099 
 02/21  01:00:00,2863871.4904413554,2519341.8750856025,2519341.8750856025,2519341.8750856025,154285.71428571438,0.0 
 02/21  02:00:00,2645015.2419140865,2300485.626558334,2300485.626558334,2300485.626558334,154285.71428571438,0.0 
 02/21  03:00:00,2571129.7079762174,2226600.0926204654,2226600.0926204654,2226600.0926204654,154285.71428571438,0.0 
 02/21  04:00:00,2893983.3644652804,2171740.4070940726,2171740.4070940726,2171740.4070940726,154285.71428571438,377713.34201545524 
 02/21  05:00:00,3967996.318818937,2335718.210080423,2335718.210080423,2335718.210080423,154285.71428571438,1283464.2231262466 
 02/21  06:00:00,3257887.22189639,2902111.397117286,2902111.397117286,2902111.397117286,154285.71428571438,0.0 
 02/21  07:00:00,5461306.9459452685,3490045.529346395,3490045.529346395,3490045.529346395,154285.71428571438,1801980.7564153592 
 02/21  08:00:00,7731295.542143758,3872409.4070758065,3872409.4070758065,3872409.4070758065,154285.71428571438,3691212.0762306293 
 02/21  09:00:00,5455299.633751781,3436548.288166884,3436548.288166884,3436548.288166884,154285.71428571438,1858574.7596964738 
 02/21  10:00:00,5292409.437915815,3287629.4627914913,3287629.4627914913,3287629.4627914913,154285.71428571438,1846477.7574731265 
 02/21  11:00:00,5337009.841789957,3359522.254572048,3359522.254572048,3359522.254572048,154285.71428571438,1819185.3695667142 
 02/21  12:00:00,5354690.311208801,3405817.7973429887,3405817.7973429887,3405817.7973429887,154285.71428571438,1790570.2962146162 
