Date/Time,Electricity:Facility [J](Hourly),Electricity:Building [J](Hourly),Electricity:Zone:LIVING_UNIT1 [J](Hourly),Electricity:SpaceType:GENERAL [J](Hourly),Electricity:HVAC [J](Hourly),Electricity:Plant [J](Hourly) 
 02/04  23:00:00,12452419.899619957,4175767.1653783405,4175767.1653783405,4175767.1653783405,6342581.725305545,1732848.665333715 
 02/04  24:00:00,11819685.978417052,3228431.3064444675,3228431.3064444675,3228431.3064444675,8397797.56821016,0.0 
 02/05  01:00:00,13100238.71664672,2498479.0097388276,2498479.0097388276,2498479.0097388276,10411515.805837853,0.0 
 02/05  02:00:00,13789427.423166977,2287908.203727021,2287908.203727021,2287908.203727021,11311275.318369918,0.0 
 02/05  03:00:00,15666667.174009763,2218387.455766968,2218387.455766968,2218387.455766968,11610107.612801855,1647928.2043709035 
 02/05  04:00:00,14489043.159238337,2167160.80380385,2167160.80380385,2167160.80380385,12131638.454364449,0.0 
 02/05  05:00:00,15033458.696432035,2326991.86639299,2326991.86639299,2326991.86639299,12511938.65871249,0.0 
 02/05  06:00:00,17465345.07597383,2888368.680950925,2888368.680950925,2888368.680950925,12670347.85324202,1705138.431287497 
 02/05  07:00:00,17735365.903331723,3455726.295687276,3455726.295687276,3455726.295687276,12467427.09805213,1797217.563694515 
 02/05  08:00:00,15128445.834268402,3804342.957438114,3804342.957438114,3804342.957438114,9473946.00400078,1836768.5282779024 
 02/05  09:00:00,11207153.342722703,3331560.1762823085,3331560.1762823085,3331560.1762823085,6023831.799907704,1845870.4949299835 
 02/05  10:00:00,9008533.393142503,3145052.4172653225,3145052.4172653225,3145052.4172653225,4028234.577590602,1831229.8949210967 
 02/05  11:00:00,6794759.238417365,3201316.809840188,3201316.809840188,3201316.809840188,1784336.1629955997,1805089.762216094 
 02/05  12:00:00,5544430.511655206,3245056.7517732778,3245056.7517732778,3245056.7517732778,516625.44182610465,1778731.8146903403 
 02/05  13:00:00,5114393.5930026695,3197289.398662933,3197289.398662933,3197289.398662933,154285.71428571438,1758801.976688541 
 02/05  14:00:00,5047235.964372925,3143544.016284607,3143544.016284607,3143544.016284607,154285.71428571438,1745389.7304371232 
